172807;0;0;0
172808;7.27E+07;1;16
172808;7.27E+07;1;16
172808;7.27E+07;2;16
172808;7.27E+07;3;16
172808;7.27E+07;3;16
172808;7.27E+07;4;16
172808;7.27E+07;5;16
172808;7.27E+07;6;16
172808;7.27E+07;6;16
172808;7.27E+07;7;4.53E+07
172808;7.27E+07;7;4.53E+07
172808;7.27E+07;7;4.54E+07
172808;7.27E+07;7;4.54E+07
172808;7.27E+07;7;4.54E+07
172808;7.27E+07;7;4.54E+07
172808;7.27E+07;7.00001;4.54E+07
172808;7.27E+07;7.00002;4.54E+07
172808;7.27E+07;7.00003;4.54E+07
172808;7.27E+07;7.00006;4.54E+07
172808;7.27E+07;7.00013;4.54E+07
172808;7.27E+07;7.00026;4.54E+07
172808;7.27E+07;7.00051;4.54E+07
172809;7.27E+07;7.00103;4.54E+07
172809;7.27E+07;7.00205;4.54E+07
172810;7.27E+07;7.0041;4.54E+07
172812;7.27E+07;7.00819;4.54E+07
172816;7.27E+07;7.01639;4.54E+07
172825;7.27E+07;7.03277;4.54E+07
172842;7.27E+07;7.06554;4.54E+07
172875;7.27E+07;7.13107;4.54E+07
172942;7.27E+07;7.26215;4.53E+07
173076;7.27E+07;7.52429;4.53E+07
173345;7.27E+07;8.04858;4.52E+07
173882;7.27E+07;9.09715;4.51E+07
174955;7.27E+07;11.1943;4.48E+07
177103;7.27E+07;14.34;4.44E+07
181398;7.27E+07;20.6315;4.37E+07
189988;7.27E+07;30.0687;4.28E+07
202873;7.27E+07;44.2244;4.18E+07
228643;7.27E+07;72.536;4.02E+07
267297;7.27E+07;115.003;3.87E+07
325279;7.27E+07;178.704;3.73E+07
394178;7.27E+07;242.405;3.59E+07
463077;7.27E+07;337.957;3.46E+07
531976;7.27E+07;481.284;3.36E+07
669775;7.27E+07;624.611;3.23E+07
807573;7.27E+07;839.602;3.13E+07
945371;7.27E+07;1162.09;3.05E+07
1.08E+06;7.27E+07;1671.49;2.90E+07
1.29E+06;7.27E+07;2321.78;2.81E+07
1.50E+06;7.27E+07;2972.06;2.75E+07
1.70E+06;7.27E+07;3622.35;2.67E+07
2.01E+06;7.27E+07;4597.78;2.61E+07
2.32E+06;7.27E+07;6060.93;2.56E+07
2.63E+06;7.27E+07;8987.22;2.44E+07
3.10E+06;7.27E+07;11913.5;2.37E+07
3.56E+06;7.27E+07;14839.8;2.34E+07
4.03E+06;7.27E+07;17766.1;2.27E+07
4.73E+06;7.27E+07;22155.5;2.23E+07
5.42E+06;7.27E+07;28739.7;2.20E+07
6.12E+06;7.27E+07;38064.5;2.11E+07
6.82E+06;7.27E+07;47389.3;2.07E+07
7.52E+06;7.27E+07;56714.1;2.06E+07
8.21E+06;7.27E+07;75363.6;1.99E+07
9.26E+06;7.27E+07;103338;1.93E+07
1.08E+07;7.27E+07;131312;1.92E+07
