Time (s), Node Label, Z Position (m), NT (K)
0.0,132,-4037.88720703125,320.5379943847656
0.0,133,-4041.043212890625,320.6050109863281
0.0,134,-4044.087646484375,320.6700134277344
0.0,135,-4047.02490234375,320.73199462890625
0.0,136,-4049.8583984375,320.7929992675781
0.0,137,-4052.592041015625,320.85101318359375
0.0,138,-4055.229248046875,320.9070129394531
0.0,139,-4057.7734375,320.96099853515625
0.0,140,-4060.227783203125,321.0140075683594
0.0,141,-4062.595458984375,321.0639953613281
0.0,142,-4064.8798828125,321.1130065917969
0.0,143,-4067.08349609375,321.1600036621094
0.0,144,-4069.20947265625,321.2049865722656
0.0,145,-4071.26025390625,321.2489929199219
0.0,146,-4073.239013671875,321.2909851074219
0.0,147,-4075.147705078125,321.3320007324219
0.0,148,-4076.9892578125,321.3710021972656
0.0,149,-4078.765625,321.40899658203125
0.0,150,-4080.4794921875,321.44500732421875
0.0,151,-4082.1328125,321.4800109863281
0.0,152,-4083.727783203125,321.5140075683594
0.0,153,-4085.2666015625,321.5469970703125
0.0,154,-4086.751220703125,321.5790100097656
0.0,155,-4088.183349609375,321.6090087890625
0.0,156,-4089.56494140625,321.6390075683594
0.0,157,-4090.897705078125,321.6669921875
0.0,158,-4092.18359375,321.69500732421875
0.0,159,-4093.424072265625,321.72100830078125
0.0,160,-4094.62060546875,321.74700927734375
0.0,161,-4095.775146484375,321.77099609375
0.0,162,-4096.88916015625,321.7950134277344
0.0,163,-4097.96337890625,321.8179931640625
0.0,164,-4099.0,321.8399963378906
0.0,632,-2501.0,287.83599853515625
0.0,633,-2502.016845703125,287.85699462890625
0.0,634,-2503.050537109375,287.8789978027344
0.0,635,-2504.1015625,287.9020080566406
0.0,636,-2505.170166015625,287.92401123046875
0.0,637,-2506.256591796875,287.947998046875
0.0,638,-2507.361328125,287.97100830078125
0.0,639,-2508.484375,287.9949951171875
0.0,640,-2509.626220703125,288.0190124511719
0.0,641,-2510.787353515625,288.04400634765625
0.0,642,-2511.9677734375,288.0690002441406
0.0,643,-2513.16796875,288.0950012207031
0.0,644,-2514.38818359375,288.1210021972656
0.0,645,-2515.62890625,288.1470031738281
0.0,646,-2516.89013671875,288.17401123046875
0.0,647,-2518.1728515625,288.2019958496094
0.0,648,-2519.476806640625,288.22900390625
0.0,649,-2520.802490234375,288.25799560546875
0.0,650,-2522.150390625,288.2860107421875
0.0,651,-2523.52099609375,288.3160095214844
0.0,652,-2524.914306640625,288.3450012207031
0.0,653,-2526.3310546875,288.3760070800781
0.0,654,-2527.771484375,288.406005859375
0.0,655,-2529.236083984375,288.43701171875
0.0,656,-2530.72509765625,288.468994140625
0.0,657,-2532.239013671875,288.5010070800781
0.0,658,-2533.7783203125,288.53399658203125
0.0,659,-2535.34326171875,288.5679931640625
0.0,660,-2536.934326171875,288.60198974609375
0.0,661,-2538.55224609375,288.635986328125
0.0,662,-2540.197021484375,288.6709899902344
0.0,663,-2541.869384765625,288.7070007324219
0.0,664,-2543.56982421875,288.7430114746094
